City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,beringovskiy,63.05,179.3167,-30.14,92,38,6.05,RU,1675539303
161,buala,-8.145,159.5921,26.29,85,100,2.78,SB,1675539478
162,flinders,-34.5833,150.8552,16.88,69,0,2.9,AU,1675539320
163,provideniya,64.3833,-173.3,-19.89,89,100,4.75,RU,1675539306
164,wote,-1.7808,37.6288,18.78,59,48,1.96,KE,1675539479
165,sao gabriel da cachoeira,-0.1303,-67.0892,30.89,62,40,1.54,BR,1675539479
166,zverinogolovskoye,54.4586,64.8542,-14.56,98,96,1.78,RU,1675539479
167,vaini,-21.2,-175.2,27.09,89,20,4.63,TO,1675539311
168,hofn,64.2539,-15.2082,0.81,57,4,6.32,IS,1675539300
169,barguzin,53.6167,109.6167,-18.21,96,91,0.82,RU,1675539480
170,azuaga,38.2667,-5.6833,6.58,59,0,2.23,ES,1675539480
171,yuci,37.6803,112.7319,-8.14,53,0,0.0,CN,1675539481
172,pingliang,35.5392,106.6861,0.8,64,100,0.56,CN,1675539481
173,margate,51.3813,1.3862,8.5,75,100,0.45,GB,1675539335
174,dunedin,-45.8742,170.5036,20.45,83,100,2.68,NZ,1675539196
175,sanok,49.5557,22.2056,-4.76,100,100,3.94,PL,1675539482
176,ribe,55.3305,8.7697,0.58,84,86,4.59,DK,1675539482
177,tshikapa,-6.4167,20.8,20.36,95,99,1.32,CD,1675539483
178,dikson,73.5069,80.5464,-20.8,98,100,1.44,RU,1675539348
179,saint-philippe,-21.3585,55.7679,25.77,87,98,4.51,RE,1675539483
180,kavieng,-2.5744,150.7967,27.39,73,97,2.0,PG,1675539484
181,soe,-9.8607,124.284,19.36,97,100,1.58,ID,1675539334
182,nioro,13.35,-15.75,30.21,12,100,3.27,GM,1675539485
183,chuy,-33.6971,-53.4616,24.2,57,1,7.39,UY,1675539307
184,makakilo city,21.3469,-158.0858,21.49,85,100,6.17,US,1675539485
185,cherskiy,68.75,161.3,-37.34,100,93,2.39,RU,1675539299
186,akhaldaba,41.654,42.1516,2.31,74,100,2.41,GE,1675539486
187,hambantota,6.1241,81.1185,24.31,86,11,5.4,LK,1675539352
188,neuquen,-38.9516,-68.0591,36.94,16,0,3.6,AR,1675539486
189,sao filipe,14.8961,-24.4956,22.25,62,53,5.88,CV,1675539487
190,erzin,36.9559,36.2,6.35,78,100,2.12,TR,1675539487
191,uribia,11.7139,-72.266,31.44,42,6,8.46,CO,1675539488
192,quatre cocos,-20.2078,57.7625,26.16,85,64,4.53,MU,1675539481
193,upernavik,72.7868,-56.1549,-21.15,95,100,3.15,GL,1675539049
194,porto novo,6.4965,2.6036,28.9,82,6,4.53,BJ,1675539488
